               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058326,            0.022258,           0.0061912,             0.51279,              0.2537,             0.32735,             0.11458,            0.060353,             0.05853,           0.0060188,            0.070049,           0.0033279,           0.0033279
                   1,            0.051448,            0.019023,           0.0071492,                   0,                   0,                   0,                   0,             0.11699,              8.4815,             0.27237,            0.040043,           0.0066552,           0.0066552
                   2,            0.063165,            0.025122,           0.0066041,             0.12372,             0.47051,             0.17125,            0.050768,            0.064973,            0.083037,            0.003572,            0.010031,           0.0099765,           0.0099765
                   3,            0.054101,            0.020033,           0.0022598,              0.8531,             0.21086,             0.35639,             0.12628,            0.068736,            0.051754,            0.017064,            0.009973,            0.009973,            0.009973
                   4,            0.048711,            0.018776,            0.002291,             0.78172,             0.12798,             0.18304,            0.064536,            0.074766,            0.039684,            0.029552,            0.009973,            0.009973,            0.009973
                   5,            0.049987,            0.019759,             0.00225,             0.75294,             0.57579,             0.65184,               0.238,            0.052936,             0.03059,           0.0012631,            0.009964,            0.009964,            0.009964
                   6,            0.044719,             0.01714,            0.001571,             0.53558,             0.52475,             0.60245,             0.20671,            0.049043,            0.035063,           0.0012764,            0.009955,            0.009955,            0.009955
                   7,            0.041107,             0.01672,           0.0015167,             0.78191,             0.74473,             0.78285,             0.34283,             0.04658,            0.026892,           0.0010809,            0.009946,            0.009946,            0.009946
                   8,            0.040636,            0.015937,           0.0011958,             0.68799,             0.69233,             0.74686,             0.31236,            0.048381,            0.035232,           0.0025856,            0.009937,            0.009937,            0.009937
                   9,            0.038944,            0.015693,           0.0012216,              0.7762,             0.74055,              0.7948,             0.35349,            0.044166,            0.029091,          0.00083829,            0.009928,            0.009928,            0.009928
                  10,            0.037318,            0.015227,           0.0012744,             0.83044,             0.71099,             0.79392,             0.36727,            0.042683,            0.024842,          0.00079621,            0.009919,            0.009919,            0.009919
                  11,             0.03629,            0.015066,           0.0012995,             0.81198,             0.76308,             0.83367,             0.36845,            0.045459,            0.024194,           0.0006528,             0.00991,             0.00991,             0.00991
                  12,            0.036687,            0.015081,           0.0012191,             0.80244,              0.8541,              0.8593,             0.40057,              0.0407,            0.023972,          0.00099631,            0.009901,            0.009901,            0.009901
                  13,            0.035543,            0.015019,           0.0013997,             0.81873,             0.67276,             0.76739,             0.45619,            0.038051,              0.0245,           0.0013434,            0.009892,            0.009892,            0.009892
                  14,            0.034951,            0.014896,           0.0011337,             0.75487,             0.84531,             0.77632,             0.39917,            0.039672,            0.023317,          0.00060139,            0.009883,            0.009883,            0.009883
                  15,            0.034489,            0.014651,           0.0011103,             0.78963,             0.79104,             0.86143,             0.46132,            0.036772,            0.027372,           0.0017099,            0.009874,            0.009874,            0.009874
                  16,            0.033035,            0.014177,           0.0011442,             0.79498,             0.76813,             0.86845,             0.47244,            0.036383,            0.024526,          0.00052569,            0.009865,            0.009865,            0.009865
